ubigeo,distrito,departamen,poblacion,ipress_per_10k,atenciones_per_10k,dist_mediana_km,pct_ccpp_10km,indice_baseline,quintil_baseline,etiqueta_baseline,indice_alternativo,quintil_alternativo,etiqueta_alternativo,cambio_quintil,cambio_abs
040413,URACA,AREQUIPA,7235.0,6.9109,0.0,19.347,0.0,0.4417,2,Low,0.3671,2,Low,0.0,0.0
040520,MAJES,AREQUIPA,69348.0,2.0188,4429.3996,5.729,75.0,0.6023,4,High,0.5787,4,High,0.0,0.0
020201,AIJA,ANCASH,1841.0,5.4318,309.6143,3.96,93.94,0.69,5,Very high,0.6663,5,Very high,0.0,0.0
100322,SILLAPATA,HUANUCO,2430.0,4.1152,0.0,22.806,0.0,0.3444,1,Very low,0.2922,1,Very low,0.0,0.0
100317,RIPAN,HUANUCO,7150.0,4.1958,0.0,14.942,5.61,0.3948,2,Low,0.3859,2,Low,0.0,0.0
040206,OCOÑA,AREQUIPA,4862.0,6.1703,0.0,50.462,0.0,0.3043,1,Very low,0.3468,1,Very low,0.0,0.0
061002,CHANCAY,CAJAMARCA,3337.0,8.9901,56.9374,2.917,100.0,0.7733,5,Very high,0.7708,5,Very high,0.0,0.0
010106,CHUQUIBAMBA,AMAZONAS,2064.0,29.0698,0.0,20.775,0.0,0.5922,4,High,0.5277,4,High,0.0,0.0
040103,CAYMA,AREQUIPA,96878.0,5.4708,4444.3527,10.611,42.86,0.6455,5,Very high,0.6449,5,Very high,0.0,0.0
220706,SAN CRISTOBAL,SAN MARTIN,1427.0,7.0077,0.0,2.715,100.0,0.6008,4,High,0.5951,4,High,0.0,0.0
022007,SHUPLUY,ANCASH,2412.0,20.7297,0.0,11.366,38.24,0.6398,5,Very high,0.6402,5,Very high,0.0,0.0
211304,CUTURAPI,PUNO,1245.0,8.0321,0.0,10.0,52.17,0.535,4,High,0.5371,4,High,0.0,0.0
061102,BOLIVAR,CAJAMARCA,1462.0,13.6799,0.0,30.394,0.0,0.4846,3,Medium,0.4677,3,Medium,0.0,0.0
220404,PISCOYACU,SAN MARTIN,3958.0,5.0531,0.0,8.811,63.33,0.4714,3,Medium,0.4744,3,Medium,0.0,0.0
